Word,Frequency
energy,334
power,120
indonesia,107
gas,103
emissions,99
electricity,78
production,70
greenhouse,67
co2,66
study,66
generation,64
emission,61
plant,58
consumption,52
ghg,51
coal,50
system,50
use,45
biogas,43
efficiency,42
impact,41
development,40
reduction,38
results,36
oil,34
fuel,34
data,33
plants,33
fuels,32
government,31
policy,31
resources,31
research,31
biomass,31
countries,29
carbon,29
analysis,28
cost,28
sources,28
potential,28
utilization,26
demand,26
method,26
fossil,25
capacity,24
paper,24
technology,24
performance,24
factors,23
authors,23
sector,22
ltd,20
change,20
model,19
climate,19
assessment,19
waste,18
iop,18
cycle,18
sugar,18
growth,17
result,17
level,17
licence,17
increase,17
palm,17
value,17
ratio,17
rights,16
publishing,16
life,16
country,16
warming,16
water,16
process,16
source,16
supply,15
types,15
implementation,15
content,15
design,15
engine,15
land,14
gases,14
industry,14
economy,13
factor,13
policies,13
year,13
management,13
scenario,13
tons,12
mix,12
contribution,12
steam,12
areas,12
area,12
time,12
rate,12
pome,12
gasification,12
turbine,12
environment,11
air,11
ton,11
technologies,11
characteristics,11
market,10
period,10
years,10
conversion,10
project,10
impacts,10
japan,10
dioxide,10
application,10
operation,10
coals,10
residue,10
load,10
output,10
diesel,10
wind,9
order,9
form,9
work,9
panel,9
factory,9
resource,9
indonesias,9
simulation,9
landfill,9
fruit,9
mitigation,9
improvement,9
values,8
balance,8
purpose,8
security,8
calculation,8
usage,8
case,8
activities,8
delay,8
pks,8
scenarios,8
effects,8
generator,8
issues,8
sectors,8
ignition,8
availability,8
readiness,8
systems,8
efb,8
world,7
nre,7
grid,7
twh,7
evaluation,7
addition,7
malaysia,7
intensity,7
pollution,7
type,7
nations,7
gdp,7
relationship,7
transportation,7
strategy,7
feasibility,7
planning,7
methanation,7
field,7
buildings,7
approach,7
condition,7
pellets,7
support,7
goal,6
effect,6
target,6
group,6
unit,6
sustainability,6
index,6
locations,6
combustion,6
contributors,6
island,6
payback,6
riau,6
problem,6
construction,6
regulation,6
framework,6
site,6
anaerobic,6
structure,6
biodiesel,6
heat,6
digestion,6
configuration,6
nexus,6
enms,6
stability,5
producer,5
methods,5
models,5
modeling,5
software,5
product,5
capita,5
aspects,5
india,5
expansion,5
problems,5
program,5
fit,5
extraction,5
capture,5
contributor,5
desalination,5
photovoltaic,5
smallscale,5
regions,5
access,5
ieee,5
issue,5
temperature,5
sample,5
russia,5
way,5
consideration,5
efforts,5
location,5
building,5
benefits,5
investment,5
methane,5
ch4,5
options,5
wpp,5
improvements,5
co2eq,5
test,5
installation,5
microhydro,5
review,5
recovery,5
room,5
connection,5
iso,5
motion,5
sensors,5
industries,5
paris,4
agreement,4
commitment,4
thailand,4
asia,4
article,4
press,4
activity,4
standard,4
policymakers,4
findings,4
region,4
role,4
tool,4
china,4
whilst,4
surabaya,4
community,4
plantation,4
landuse,4
cultivation,4
needs,4
bioenergy,4
green,4
house,4
petroleum,4
madura,4
pvro,4
size,4
scale,4
strategies,4
need,4
particle,4
treatment,4
city,4
food,4
context,4
germany,4
nature,4
distribution,4
parameters,4
literature,4
future,4
bau,4
terms,4
dependency,4
success,4
penetration,4
lighting,4
studies,4
degradation,4
lfg,4
implications,4
range,4
scores,4
tax,4
materials,4
etc,4
edp,4
sciences,4
hand,4
rooftop,4
university,4
yield,4
material,4
atmosphere,4
manufacture,4
generators,4
diameter,4
clew,4
lca,4
peak,4
variables,4
properties,4
dea,4
mining,4
company,4
volume,4
bunches,4
objective,4
co2ton,4
bagasse,4
switches,4
lowcarbon,4
downdraft,4
machine,4
plan,3
storage,3
requirement,3
burden,3
contributions,3
regard,3
southeast,3
mlp,3
products,3
sulawesi,3
number,3
health,3
ways,3
measurement,3
tonnes,3
governments,3
drivers,3
lack,3
attention,3
quality,3
south,3
technique,3
panels,3
recommendations,3
category,3
groups,3
machines,3
knowledge,3
understanding,3
kernel,3
shell,3
introduction,3
tariff,3
lifecycle,3
plantations,3
average,3
reductions,3
pmsg,3
testing,3
concentrations,3
countrys,3
solution,3
salt,3
conditions,3
shortages,3
stakeholders,3
loss,3
component,3
furnace,3
decrease,3
concentration,3
bandar,3
lampung,3
composition,3
procedure,3
scraps,3
economies,3
association,3
importance,3
challenges,3
economics,3
action,3
infrastructure,3
adoption,3
flats,3
transfer,3
units,3
mill,3
effluent,3
cod,3
msw,3
income,3
projects,3
diversification,3
people,3
smrs,3
carem25,3
klt40s,3
htrpm,3
despite,3
initiatives,3
fields,3
mdpi,3
basel,3
switzerland,3
prediction,3
united,3
score,3
producers,3
matter,3
integration,3
costs,3
reliability,3
boiler,3
baseline,3
flow,3
reliance,3
goals,3
survey,3
discussion,3
turbines,3
specification,3
pilot,3
savings,3
sorghum,3
comparison,3
scope,3
bali,3
digesters,3
cattle,3
biominigen,3
discharge,3
mhpp,3
minimum,3
microalgae,3
algae,3
nitrogen,3
dynamics,3
fuzzyahp,3
kalimantan,3
wef,3
business,3
consumer,3
programs,3
capital,3
causality,3
econjournals,3
plasma,3
population,3
syngas,3
kgs,3
causes,3
configurations,3
concept,3
evolution,3
borehole,3
fractures,3
copyright,3
consumers,3
pln,3
fact,3
fishermen,3
fishing,3
vessel,3
rec,3
processing,3
co2eqy,3
audit,3
base,3
voltage,3
decision,3
experiment,3
reactor,3
state,3
aic,3
lamps,3
campus,3
certification,3
krebet,3
costoutput,3
course,2
longterm,2
intermittency,2
institute,2
physics,2
times,2
gwe,2
geothermal,2
vietnam,2
networks,2
techniques,2
accuracy,2
jeneponto,2
total,2
deterioration,2
philippines,2
ipcc,2
concern,2
turkey,2
progress,2
nation,2
exhaust,2
aqi,2
perception,2
mount,2
lawu,2
peoples,2
reason,2
categories,2
information,2
import,2
existence,2
neutrality,2
kgco2eqkwh,2
district,2
