Word,Frequency
emissions,324
indonesia,203
greenhouse,190
carbon,180
ghg,176
study,164
emission,163
gas,151
climate,149
change,114
co2,99
results,89
development,86
research,84
countries,80
data,76
production,74
impact,73
food,70
impacts,62
waste,61
transportation,59
process,59
gases,57
analysis,55
energy,53
warming,51
sector,50
activities,48
model,47
factors,46
use,45
method,44
policies,43
ltd,43
system,43
reduction,41
paper,40
industry,40
cycle,39
environment,39
land,38
scenarios,37
mangrove,37
life,37
sectors,37
consumption,37
licence,36
iop,36
assessment,36
deforestation,35
level,35
publishing,35
authors,34
scenario,33
health,33
temperature,32
sustainability,32
areas,32
effect,32
water,31
rights,31
result,31
companies,31
mitigation,30
area,30
implementation,30
processing,30
value,29
management,29
technology,28
growth,28
cement,28
indonesias,28
disclosure,28
policy,27
mangroves,27
dioxide,27
government,26
pollution,26
scope,26
aquaculture,26
increase,25
role,25
world,25
approach,24
contribution,24
product,24
construction,24
sea,24
air,23
supply,23
inventory,23
systems,23
city,23
region,22
wastewater,22
treatment,22
road,22
quality,21
changes,21
year,21
case,21
strategies,20
conservation,20
nations,20
forests,20
products,20
years,20
goals,20
footprint,20
landfill,20
record,20
degradation,19
china,19
farms,19
framework,18
tax,18
strategy,18
forest,18
methods,18
vehicles,18
number,18
rate,18
transport,18
ocean,18
capacity,17
economy,17
distribution,17
time,17
chain,17
urbanization,17
company,17
agriculture,16
actions,16
potential,16
regions,16
economies,16
atmosphere,16
india,16
loss,16
sources,16
application,16
project,16
coffee,16
resources,15
country,15
rainfall,15
agreement,15
plant,15
species,15
lca,15
fuel,15
conditions,15
condition,15
materials,15
material,15
structure,15
adoption,15
factor,15
issues,15
cost,15
drought,15
stocks,14
income,14
information,14
studies,14
levels,14
order,14
addition,14
performance,14
population,14
manufacturing,14
logistics,14
asia,14
ice,14
ccs,14
speed,13
rates,13
source,13
co2eq,13
efficiency,13
paris,13
capita,13
processes,13
practices,13
oil,13
relationship,13
content,13
students,13
extent,13
trade,12
community,12
ha1,12
dispersal,12
forestry,12
south,12
africa,12
australia,12
jakarta,12
variables,12
groups,12
issue,12
temperatures,11
demand,11
group,11
effects,11
recycling,11
characteristics,11
concentration,11
province,11
brazil,11
science,11
target,11
pressure,11
sites,11
ecosystem,11
timber,11
unit,11
terms,11
tons,11
problem,11
electricity,11
diversity,11
plastics,11
volumes,11
board,11
reclamation,11
tempeh,11
plan,10
criteria,10
adaptation,10
co2e,10
stock,10
regression,10
landuse,10
united,10
building,10
activity,10
program,10
livestock,10
panel,10
reductions,10
sciences,10
findings,10
aspects,10
palm,10
diets,10
diet,10
household,10
rice,10
plastic,10
east,10
fish,10
committee,10
ch4,10
milk,10
manure,10
pavement,10
kupang,10
pressures,10
rubber,10
priority,9
java,9
soil,9
business,9
malaysia,9
total,9
option,9
index,9
society,9
states,9
green,9
article,9
mining,9
size,9
plants,9
targets,9
mode,9
rise,9
response,9
period,9
ghgs,9
service,9
half,9
japan,9
density,9
outcomes,9
hypothesis,9
biomass,9
vehicle,9
people,9
utilization,9
stakeholders,9
days,9
tofu,9
costs,9
capital,9
calculation,9
ecosystems,9
equation,9
arabica,9
concept,9
market,9
infrastructure,9
action,9
iso,9
drilling,9
projections,8
sequestration,8
commitments,8
power,8
form,8
goal,8
west,8
education,8
range,8
industries,8
wood,8
russia,8
term,8
commitment,8
services,8
mass,8
methodology,8
indian,8
surface,8
wastes,8
site,8
university,8
vent,8
knowledge,8
accounting,8
exchange,8
cities,8
commissioners,8
audit,8
differences,8
ipcc,8
programs,8
jurisdictions,8
roads,8
constitution,8
sago,8
tonsday,8
purpose,7
island,7
storage,7
risk,7
contributions,7
grdp,7
agc,7
solution,7
parameters,7
acidification,7
fossil,7
mexico,7
influence,7
security,7
work,7
locations,7
observation,7
edp,7
efforts,7
battery,7
methane,7
survey,7
institute,7
equipment,7
nze,7
effort,7
nature,7
salinity,7
fruit,7
despite,7
options,7
availability,7
improvement,7
attention,7
pollutants,7
way,7
extraction,7
toll,7
expenditure,7
disposal,7
hydrothermal,7
earths,7
tool,7
indicators,7
fisheries,7
governance,7
regulation,7
inventories,7
maintenance,7
μmol,7
islands,7
average,7
iod,7
productivity,7
co2eyear,7
flux,7
starch,7
co2eqday,7
lcd,6
field,6
losses,6
end,6
future,6
restoration,6
benefits,6
copyright,6
coal,6
kalimantan,6
conclusion,6
evaluation,6
estimation,6
bay,6
variable,6
combination,6
europe,6
understanding,6
worlds,6
eutrophication,6
fertilizer,6
categories,6
variation,6
absorption,6
pathways,6
models,6
decade,6
european,6
union,6
behaviour,6
challenges,6
vietnam,6
thailand,6
governments,6
decision,6
co2resistant,6
control,6
aim,6
commuters,6
december,6
germany,6
southeast,6
insights,6
report,6
database,6
bunch,6
combustion,6
causes,6
facilities,6
collaboration,6
sugar,6
score,6
input,6
smallholders,6
port,6
types,6
fuels,6
nutmeg,6
stage,6
gasses,6
projects,6
objectives,6
share,6
america,6
aerosols,6
weather,6
respondents,6
context,6
ndcs,6
district,6
tuna,6
points,6
contributors,6
debris,6
measures,6
evs,6
intention,6
n2o,6
cooperation,6
deaths,6
estate,6
papua,6
tradeoffs,6
rbd,6
aggregates,6
ffb,6
surabaya,6
anghg,6
strength,6
network,5
interviews,5
observations,5
scale,5
problems,5
revenue,5
sulawesi,5
price,5
output,5
vegetation,5
difference,5
equations,5
location,5
goods,5
house,5
resource,5
yield,5
workforce,5
techniques,5
planning,5
evidence,5
collection,5
limestone,5
type,5
ndc,5
flow,5
progress,5
nickel,5
physics,5
diversification,5
investment,5
mean,5
usa,5
north,5
phase,5
damage,5
integrity,5
properties,5
operations,5
need,5
requirement,5
distance,5
expansion,5
disasters,5
events,5
kuznets,5
singapore,5
acceleration,5
earth,5
era,5
pellet,5
implications,5
technologies,5
nutrition,5
concerns,5
tonnes,5
concrete,5
eatlancet,5
venting,5
fluids,5
dynamics,5
crisis,5
season,5
smallscale,5
gwp,5
kgco2eq,5
sampling,5
leverage,5
test,5
patterns,5
step,5
indonesian,5
regulations,5
optimization,5
sba,5
awareness,5
robusta,5
year1,5
attitude,5
msw,5
fields,5
cobenefits,5
summer,5
ponds,5
containerization,5
soils,5
capitals,5
ethylene,5
yields,5
extinction,5
profitability,5
ash,5
wetlands,5
cod,5
chicken,5
rti,5
floods,4
lowcarbon,4
interest,4
csr,4
1980s,4
instrument,4
sumatera,4
bali,4
econjournals,4
root,4
rmse,4
accuracy,4
chains,4
american,4
village,4
regency,4
position,4
vegetable,4
farm,4
freshwater,4
depletion,4
yr1,4
so2eq,4
ton,4
turkey,4
environments,4
labor,4
component,4
populations,4
pas,4
variations,4
calcium,4
oxide,4
parts,4
objective,4
co2emissions,4
place,4
decarbonization,4
threat,4
stages,4
