Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019
Indonesia,IDN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,33.7105948,34.57058583,33.78014238
Indonesia,IDN,Gross capital formation (current LCU),NE.GDI.TOTL.CN,4.58E15,5.13E15,5.35E15
Indonesia,IDN,Changes in inventories (current US$),NE.GDI.STKB.CD,1.5741642942E10,2.3785561274E10,1.6039586438E10
Indonesia,IDN,Gross fixed capital formation (constant 2015 US$),NE.GDI.FTOT.KD,3.13E11,3.34E11,3.49E11
Indonesia,IDN,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,1.95E11,2.08E11,2.07E11
Indonesia,IDN,Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,9.64E15,1.02E16,1.07E16
Indonesia,IDN,Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,141.142862,145.6673157,149.3513392
Indonesia,IDN,Final consumption expenditure (constant 2015 US$),NE.CON.TOTL.KD,6.31E11,6.64E11,6.96E11
Indonesia,IDN,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1.53E12,1.61E12,1.69E12
Indonesia,IDN,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,5.49E15,5.77E15,6.07E15
Indonesia,IDN,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,7.78E15,8.46E15,9.17E15
Indonesia,IDN,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,2.124728287,4.820725297,3.267844749
Indonesia,IDN,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,9.5E7,1.5E7,9000000.0
Indonesia,IDN,Military expenditure (current USD),MS.MIL.XPND.CD,8.79752845E9,7.493744633E9,8.154244768E9
Indonesia,IDN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2.350075606,3.322807092,3.814917355
Indonesia,IDN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,164.5351584,119.6084851,126.5946679
Indonesia,IDN,Rail lines (total route-km),IS.RRS.TOTL.KM,4748.742,5483.312,5483.0
Indonesia,IDN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1052.36048,1131.913455,981.74186
Indonesia,IDN,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),IQ.SPI.PIL3,68.9125,75.63125,74.8875
Indonesia,IDN,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,80.0,80.0,80.0
Indonesia,IDN,"Patent applications, nonresidents",IP.PAT.NRES,7032.0,8347.0,8388.0
Indonesia,IDN,Public private partnerships investment in water and sanitation (current US$),IE.PPN.WATR.CD,1.572E8,3.1462E8,8.238E7
Indonesia,IDN,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,1.572E8,3.1462E8,8.238E7
Indonesia,IDN,Procedures to build a warehouse (number),IC.WRH.PROC,18.0,18.0,18.0
Indonesia,IDN,Tax payments (number),IC.TAX.PAYM,42.0,42.0,26.0
Indonesia,IDN,Start-up procedures to register a business (number),IC.REG.PROC,12.0,11.0,11.0
Indonesia,IDN,Cost of business start-up procedures (% of GNI per capita),IC.REG.COST.PC.ZS,11.0,6.1,5.7
Indonesia,IDN,Time required to register property (days),IC.PRP.DURS,27.64,30.64,30.64
Indonesia,IDN,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,40.38461685,46.63461685,43.75
Indonesia,IDN,Subsidies and other transfers (% of expense),GC.XPN.TRFT.ZS,50.35972311,48.69207088,49.59981985
Indonesia,IDN,Other expense (% of expense),GC.XPN.OTHR.ZS,7.911107431,10.99718589,11.23666012
Indonesia,IDN,Interest payments (current LCU),GC.XPN.INTP.CN,2.16E14,2.58E14,2.75E14
Indonesia,IDN,Compensation of employees (current LCU),GC.XPN.COMP.CN,3.1E14,3.43E14,3.73E14
Indonesia,IDN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,9.87729308,10.23014302,9.751961808
Indonesia,IDN,Taxes on international trade (% of revenue),GC.TAX.INTT.RV.ZS,2.318601866,2.347080421,2.059490135
Indonesia,IDN,Taxes on goods and services (% value added of industry and services),GC.TAX.GSRV.VA.ZS,5.630073742,5.654224565,5.350208817
Indonesia,IDN,Taxes on exports (current LCU),GC.TAX.EXPT.CN,4.15E12,6.77E12,3.53E12
Indonesia,IDN,Social contributions (current LCU),GC.REV.SOCL.CN,0.0,0.0,0.0
Indonesia,IDN,Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,-3.41E14,-2.69E14,-3.48E14
Indonesia,IDN,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,4.29E14,3.72E14,4.38E14
Indonesia,IDN,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,8.85E13,1.03E14,8.99E13
Indonesia,IDN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,46.96393572,47.23182828,46.50632361
Indonesia,IDN,Real interest rate (%),FR.INR.RINR,6.501563996,6.471249839,8.62940479
Indonesia,IDN,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.110191149,3.353069238,3.357672501
Indonesia,IDN,Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,32.47067249,32.80991282,32.537945
Indonesia,IDN,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,0.05478871,-0.192304261,1.556017629
Indonesia,IDN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1.3E11,1.21E11,1.29E11
Indonesia,IDN,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,414.7511756,171.3223129,168.7154312
Indonesia,IDN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,2.444048435,2.205798651,2.339357504
Indonesia,IDN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,7632.169231,7558.781829,7488.235214
Indonesia,IDN,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,29.69654528,29.69654528,29.69654528
Indonesia,IDN,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,4.267171365,4.487967252,4.713231239
Indonesia,IDN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,7.194417458,7.117827584,7.048945068
Indonesia,IDN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,893588.3,958076.1,1002369.0
Indonesia,IDN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1021.0,1064.0,1084.0
Indonesia,IDN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,26.15,21.05,19.09
Indonesia,IDN,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.88999939,99.87999725,99.88999939
Indonesia,IDN,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,88.9,90.4,91.8
Indonesia,IDN,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS,9.181889224,7.856453583,10.17124638
Indonesia,IDN,"IMF repurchases and charges (TDS, current US$)",DT.TDS.DIMF.CD,1468556.0,2650808.4,2.71860003E7
Indonesia,IDN,Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,0.192936936,0.623280966,-0.427451953
Indonesia,IDN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.028490867,0.095201541,-0.063900437
Indonesia,IDN,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,3.275E7,3.993000031E7,4.275E7
Indonesia,IDN,"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,1.239000034E7,7659999.847,3799999.952
Indonesia,IDN,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,2.635000038E7,1.948999977E7,1.518000031E7
Indonesia,IDN,"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,2.075299988E8,2.627200012E8,1.875200043E8
Indonesia,IDN,"Listed domestic companies, total",CM.MKT.LDOM.NO,566.0,619.0,668.0
Indonesia,IDN,Control of Corruption: Standard Error,CC.STD.ERR,0.123139113,0.128457621,0.13559787
Indonesia,IDN,Control of Corruption: Number of Sources,CC.NO.SRC,13.0,13.0,13.0
Indonesia,IDN,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,8.761207216E9,1.097424197E10,1.1435162307E10
Indonesia,IDN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2.0510310832E10,1.8909826044E10,2.4993551748E10
Indonesia,IDN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,4.980973722E7,6.119466071E7,5.891611308E7
Indonesia,IDN,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,1.94E11,2.12E11,2.0E11
Indonesia,IDN,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,9.967379544E8,1.225741464E9,1.320695756E9
Indonesia,IDN,"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,4.500175877E9,6.895406553E9,7.628922415E9
Indonesia,IDN,"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,-9.503639089E8,-1.717347343E9,-1.647654185E9
Indonesia,IDN,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-1.7099801611E10,-3.2253312634E10,-3.1887652359E10
Indonesia,IDN,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,5.461635436E9,5.324890035E9,5.04760643E9
Indonesia,IDN,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,31.60155259,32.97773022,29.63253583
Indonesia,IDN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.5E11,1.81E11,1.65E11
Indonesia,IDN,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.75165623,34.76245333,37.10766921
Indonesia,IDN,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,159.79,166.82,166.78
Indonesia,IDN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2702.0,2702.0,2702.0
Indonesia,IDN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.099433324,0.098477219,0.097558125
Indonesia,IDN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,253.790843,263.4694065,224.1813791
Indonesia,IDN,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,13000.0,16000.0,40000.0
Indonesia,IDN,Voice and Accountability: Standard Error,VA.STD.ERR,0.125947863,0.128772423,0.123332441
Indonesia,IDN,Voice and Accountability: Number of Sources,VA.NO.SRC,13.0,13.0,12.0
Indonesia,IDN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,8.446123171,8.212824228,8.092030411
Indonesia,IDN,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,258.1084112,275.406721,256.384257
Indonesia,IDN,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1.758644186,1.662695431,1.780546002
Indonesia,IDN,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,1.676883997,1.742940861,1.564663322
Indonesia,IDN,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1.69E11,1.8E11,1.68E11
Indonesia,IDN,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,2.929033639,2.692096532,2.029072115
Indonesia,IDN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,5.990299743,5.094333819,5.454534399
Indonesia,IDN,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,117.463601,115.8501958,115.376208
Indonesia,IDN,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,37.53173395,34.67812586,36.9796727
Indonesia,IDN,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1.127160923,1.9465193,2.236152138
Indonesia,IDN,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,2.38465076,2.020910878,2.490130364
Indonesia,IDN,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,51.71040673,50.79212644,49.68191188
Indonesia,IDN,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,64.87834817,65.01615909,68.02556561
Indonesia,IDN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,10.99181371,10.20872835,10.61599843
Indonesia,IDN,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,2.28,2.29,2.57
Indonesia,IDN,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,10.87695,10.52943,11.18996
Indonesia,IDN,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,2.06,2.0,2.0
Indonesia,IDN,"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,12.02772,7.871694,8.24086
Indonesia,IDN,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,1.95,1.9,1.82
Indonesia,IDN,"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,12.1778,7.572592,7.879144
Indonesia,IDN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,32.0726653,35.38732365,30.288539
Indonesia,IDN,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,1.3139E10,1.6426E10,1.6911E10
Indonesia,IDN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,1.4691E10,1.7915E10,1.8405E10
Indonesia,IDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.659,55.325,55.985
Indonesia,IDN,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.460440473,-0.513557189,-0.550668038
Indonesia,IDN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.37655097,50.3756582,50.37354116
Indonesia,IDN,"Population, total",SP.POP.TOTL,2.64498852E8,2.67066843E8,2.69582878E8
Indonesia,IDN,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,39.3311949,38.91489592,38.49501127
Indonesia,IDN,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.712272999,0.730575855,0.748102471
Indonesia,IDN,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1.539078284,1.544317505,1.557688342
Indonesia,IDN,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,5.454968843,5.560574633,5.687020695
Indonesia,IDN,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,2.202553726,2.281712318,2.375179312
Indonesia,IDN,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,4.486090735,4.610080314,4.727042818
Indonesia,IDN,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,6.460093605,6.507730828,6.551679363
Indonesia,IDN,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,7.817124327,7.83548546,7.831975716
Indonesia,IDN,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,8.015834378,7.947705414,7.891102315
Indonesia,IDN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,67.21749143,67.33735376,67.44371577
Indonesia,IDN,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,66.81521793,66.92229099,67.01559926
Indonesia,IDN,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,8.69065205,8.722242514,8.749807675
Indonesia,IDN,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,26.43744248,26.20426102,25.96246598
Indonesia,IDN,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,25.93611032,25.70792026,25.47013391
Indonesia,IDN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.001,68.311,68.481
Indonesia,IDN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.6,20.8,20.1
Indonesia,IDN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.579,7.496,7.539
Indonesia,IDN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,36.012,35.293,34.867
Indonesia,IDN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,7.6,7.0,6.2
Indonesia,IDN,Refugee population by country or territory of origin,SM.POP.REFG.OR,12485.0,12148.0,12039.0
Indonesia,IDN,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.971,4.523,3.748
Indonesia,IDN,"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,21.45,21.74,20.55
Indonesia,IDN,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,106.22,106.22,106.22
Indonesia,IDN,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,253.74,253.74,211.0714
Indonesia,IDN,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,7.0,8.0,8.0
Indonesia,IDN,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,10.0,10.0,10.0
Indonesia,IDN,Government Effectiveness: Standard Error,GE.STD.ERR,0.201371759,0.209266901,0.215857267
Indonesia,IDN,Government Effectiveness: Number of Sources,GE.NO.SRC,9.0,9.0,9.0
Indonesia,IDN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,14.2990291,14.81909636,14.49468875
Indonesia,IDN,Interest payments (% of expense),GC.XPN.INTP.ZS,11.14053121,11.73045987,11.98910405
Indonesia,IDN,Goods and services expense (current LCU),GC.XPN.GSRV.CN,2.85E14,2.85E14,2.51E14
Indonesia,IDN,"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,38.81973265,38.59531784,39.39581791
Indonesia,IDN,Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS,1.313641997,1.282865996,1.368146667
Indonesia,IDN,Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,2.568975183,2.558756814,2.386337647
Indonesia,IDN,Taxes on goods and services (current LCU),GC.TAX.GSRV.CN,6.35E14,6.98E14,7.05E14
Indonesia,IDN,"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,1.65E15,1.93E15,1.96E15
Indonesia,IDN,Grants and other revenue (current LCU),GC.REV.GOTR.CN,3.24E14,4.25E14,4.16E14
Indonesia,IDN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,4.41E15,4.92E15,5.34E15
Indonesia,IDN,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,5.656732514,5.155042208,5.529465235
Indonesia,IDN,Lending interest rate (%),FR.INR.LEND,11.07333333,10.53666667,10.36583333
Indonesia,IDN,Consumer price index (2010 = 100),FP.CPI.TOTL,142.1824123,146.7298984,151.1766751
Indonesia,IDN,Broad money (current LCU),FM.LBL.BMNY.CN,5.42E15,5.76E15,6.14E15
Indonesia,IDN,Net domestic credit (current LCU),FM.AST.DOMS.CN,5.72E15,6.35E15,6.75E15
Indonesia,IDN,Total reserves in months of imports,FI.RES.TOTL.MO,7.08716242,5.595607588,6.317774344
Indonesia,IDN,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,32.41745701,32.73983289,32.47411868
Indonesia,IDN,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,14.61829829,12.82311218,13.40391639
Indonesia,IDN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,3.05732315,3.05732315,3.057332
Indonesia,IDN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,11.02863229,11.02863229,11.02863229
Indonesia,IDN,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,10.69014306,10.69014306,10.69014306
Indonesia,IDN,Capture fisheries production (metric tons),ER.FSH.CAPT.MT,6946132.04,7155854.27,7192713.78
Indonesia,IDN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,13.28379111,13.41330417,13.55158913
Indonesia,IDN,Population density (people per sq. km of land area),EN.POP.DNST,140.8767911,142.2445488,143.5846338
Indonesia,IDN,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.178749538,0.185135246,0.186050602
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,517323.6,576991.5,619840.7
Indonesia,IDN,Voice and Accountability: Percentile Rank,VA.PER.RNK,51.23152542,51.6908226,51.6908226
Indonesia,IDN,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,14.07697371,11.78213849,12.79152385
Indonesia,IDN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,29.7227579,31.65222119,30.47064471
Indonesia,IDN,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,1.242158882,0.02803798,0.011779734
Indonesia,IDN,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1.89238831,1.655578633,1.769915468
